127.0.0.1 - - [23/Nov/2022:10:21:42 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [23/Nov/2022:10:22:00 +0900] "GET /freeeat HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [23/Nov/2022:10:22:01 +0900] "GET /freeeat/ HTTP/1.1" 200 8852
0:0:0:0:0:0:0:1 - - [23/Nov/2022:10:22:01 +0900] "GET /freeeat/resources/image/recent.png HTTP/1.1" 404 853
0:0:0:0:0:0:0:1 - - [23/Nov/2022:10:22:01 +0900] "GET /freeeat/resources/image/freeeatlogo.png HTTP/1.1" 200 27194
0:0:0:0:0:0:0:1 - - [23/Nov/2022:10:22:02 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [23/Nov/2022:10:22:09 +0900] "GET /freeeat/views/place/placeSelectDetailView.jsp HTTP/1.1" 200 22996
0:0:0:0:0:0:0:1 - - [23/Nov/2022:10:22:09 +0900] "GET /freeeat/views/place/resources/image/recent.png HTTP/1.1" 404 873
0:0:0:0:0:0:0:1 - - [23/Nov/2022:10:22:22 +0900] "GET /freeeat/views/place/placeSelectDetailView.jsp HTTP/1.1" 200 22996
0:0:0:0:0:0:0:1 - - [23/Nov/2022:10:22:22 +0900] "GET /freeeat/views/place/resources/image/recent.png HTTP/1.1" 404 873
0:0:0:0:0:0:0:1 - - [23/Nov/2022:10:22:22 +0900] "GET /freeeat/views/place/placeSelectDetailView.jsp HTTP/1.1" 200 22996
0:0:0:0:0:0:0:1 - - [23/Nov/2022:10:22:22 +0900] "GET /freeeat/views/place/resources/image/recent.png HTTP/1.1" 404 873
0:0:0:0:0:0:0:1 - - [23/Nov/2022:10:22:22 +0900] "GET /freeeat/views/place/placeSelectDetailView.jsp HTTP/1.1" 200 22996
0:0:0:0:0:0:0:1 - - [23/Nov/2022:10:22:22 +0900] "GET /freeeat/views/place/resources/image/recent.png HTTP/1.1" 404 873
0:0:0:0:0:0:0:1 - - [23/Nov/2022:10:22:27 +0900] "GET /freeeat/views/place/placeSelectDetailView.jsp HTTP/1.1" 200 22996
0:0:0:0:0:0:0:1 - - [23/Nov/2022:10:22:27 +0900] "GET /freeeat/views/place/resources/image/recent.png HTTP/1.1" 404 873
0:0:0:0:0:0:0:1 - - [23/Nov/2022:10:22:27 +0900] "GET /freeeat/views/place/placeSelectDetailView.jsp HTTP/1.1" 200 22996
0:0:0:0:0:0:0:1 - - [23/Nov/2022:10:22:27 +0900] "GET /freeeat/views/place/resources/image/recent.png HTTP/1.1" 404 873
0:0:0:0:0:0:0:1 - - [23/Nov/2022:10:27:50 +0900] "GET /freeeat/views/place/placeSelectDetailView.jsp HTTP/1.1" 200 22871
0:0:0:0:0:0:0:1 - - [23/Nov/2022:10:27:50 +0900] "GET /freeeat/views/place/resources/image/recent.png HTTP/1.1" 404 873
0:0:0:0:0:0:0:1 - - [23/Nov/2022:10:27:50 +0900] "GET /freeeat/views/place/placeSelectDetailView.jsp HTTP/1.1" 200 22871
0:0:0:0:0:0:0:1 - - [23/Nov/2022:10:27:50 +0900] "GET /freeeat/views/place/resources/image/recent.png HTTP/1.1" 404 873
0:0:0:0:0:0:0:1 - - [23/Nov/2022:10:27:53 +0900] "GET /freeeat/views/place/placeSelectDetailView.jsp HTTP/1.1" 200 22871
0:0:0:0:0:0:0:1 - - [23/Nov/2022:10:27:53 +0900] "GET /freeeat/views/place/resources/image/recent.png HTTP/1.1" 404 873
0:0:0:0:0:0:0:1 - - [23/Nov/2022:10:27:54 +0900] "GET /freeeat/views/place/placeSelectDetailView.jsp HTTP/1.1" 200 22871
0:0:0:0:0:0:0:1 - - [23/Nov/2022:10:27:54 +0900] "GET /freeeat/views/place/resources/image/recent.png HTTP/1.1" 404 873
0:0:0:0:0:0:0:1 - - [23/Nov/2022:10:28:01 +0900] "GET /freeeat/views/place/placeSelectDetailView.jsp HTTP/1.1" 200 22877
0:0:0:0:0:0:0:1 - - [23/Nov/2022:10:28:01 +0900] "GET /freeeat/views/place/resources/image/recent.png HTTP/1.1" 404 873
0:0:0:0:0:0:0:1 - - [23/Nov/2022:10:28:01 +0900] "GET /freeeat/views/place/placeSelectDetailView.jsp HTTP/1.1" 200 22877
