127.0.0.1 - - [01/Dec/2022:07:31:08 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [01/Dec/2022:08:36:00 +0900] "GET /freeeat/views/place/placeSelectDetailView.jsp HTTP/1.1" 200 61727
0:0:0:0:0:0:0:1 - - [01/Dec/2022:08:36:00 +0900] "GET /freeeat/resources/image/freeeatlogo.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Dec/2022:08:36:00 +0900] "GET /freeeat/resources/image/sugar-free.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Dec/2022:08:36:00 +0900] "GET /freeeat/resources/image/star2.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Dec/2022:08:36:00 +0900] "GET /freeeat/resources/image/gluten-free.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Dec/2022:08:36:00 +0900] "GET /freeeat/resources/image/no-milk.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Dec/2022:08:36:00 +0900] "GET /freeeat/resources/image/free-icon-vegan.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Dec/2022:08:36:00 +0900] "GET /freeeat/resources/image/animal-%20welfare.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Dec/2022:08:36:00 +0900] "GET /freeeat/resources/image/plus.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Dec/2022:08:36:00 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [01/Dec/2022:08:38:08 +0900] "GET /freeeat/views/place/placeSelectDetailView.jsp HTTP/1.1" 200 61740
0:0:0:0:0:0:0:1 - - [01/Dec/2022:08:38:09 +0900] "GET /freeeat/views/place/placeSelectDetailView.jsp HTTP/1.1" 200 61740
0:0:0:0:0:0:0:1 - - [01/Dec/2022:08:38:09 +0900] "GET /freeeat/views/place/placeSelectDetailView.jsp HTTP/1.1" 200 61740
0:0:0:0:0:0:0:1 - - [01/Dec/2022:08:38:09 +0900] "GET /freeeat/views/place/placeSelectDetailView.jsp HTTP/1.1" 200 61740
0:0:0:0:0:0:0:1 - - [01/Dec/2022:08:44:26 +0900] "GET /freeeat/views/place/placeSelectDetailView.jsp HTTP/1.1" 200 62171
0:0:0:0:0:0:0:1 - - [01/Dec/2022:08:45:15 +0900] "GET /freeeat/views/place/placeSelectDetailView.jsp HTTP/1.1" 200 62226
0:0:0:0:0:0:0:1 - - [01/Dec/2022:08:46:11 +0900] "GET /freeeat/views/place/placeSelectDetailView.jsp HTTP/1.1" 200 62314
0:0:0:0:0:0:0:1 - - [01/Dec/2022:08:46:11 +0900] "GET /freeeat/views/place/%E3%85%8E%E3%85%8E HTTP/1.1" 404 857
0:0:0:0:0:0:0:1 - - [01/Dec/2022:08:46:11 +0900] "GET /freeeat/views/place/%E3%85%8E%E3%85%8E1 HTTP/1.1" 404 858
0:0:0:0:0:0:0:1 - - [01/Dec/2022:08:46:11 +0900] "GET /freeeat/views/place/%E3%85%8E%E3%85%8E3 HTTP/1.1" 404 858
0:0:0:0:0:0:0:1 - - [01/Dec/2022:08:46:11 +0900] "GET /freeeat/views/place/%E3%85%8E%E3%85%8E5 HTTP/1.1" 404 858
0:0:0:0:0:0:0:1 - - [01/Dec/2022:08:46:11 +0900] "GET /freeeat/views/place/%E3%85%8E%E3%85%8E2 HTTP/1.1" 404 858
0:0:0:0:0:0:0:1 - - [01/Dec/2022:08:46:11 +0900] "GET /freeeat/views/place/%E3%85%8E%E3%85%8E4 HTTP/1.1" 404 858
0:0:0:0:0:0:0:1 - - [01/Dec/2022:08:46:11 +0900] "GET /freeeat/views/place/%E3%85%8E%E3%85%8E6 HTTP/1.1" 404 858
0:0:0:0:0:0:0:1 - - [01/Dec/2022:08:46:11 +0900] "GET /freeeat/views/place/%E3%85%8E%E3%85%8E7 HTTP/1.1" 404 858
0:0:0:0:0:0:0:1 - - [01/Dec/2022:08:46:11 +0900] "GET /freeeat/views/place/%E3%85%8E%E3%85%8E10 HTTP/1.1" 404 859
