127.0.0.1 - - [05/Feb/2023:11:39:33 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [05/Feb/2023:11:39:36 +0900] "GET /freeeat/placeDetail.mr?placeNo=44 HTTP/1.1" 200 68570
0:0:0:0:0:0:0:1 - - [05/Feb/2023:11:39:36 +0900] "GET /freeeat/photoList.mr?placeNo=44 HTTP/1.1" 200 1789
0:0:0:0:0:0:0:1 - - [05/Feb/2023:11:39:37 +0900] "GET /freeeat/views/member/loginEnrollForm.jsp HTTP/1.1" 200 20972
0:0:0:0:0:0:0:1 - - [05/Feb/2023:11:39:39 +0900] "POST /freeeat/login.yj HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [05/Feb/2023:11:39:39 +0900] "GET /freeeat/views/common/mainPage.jsp HTTP/1.1" 200 30492
0:0:0:0:0:0:0:1 - - [05/Feb/2023:11:39:42 +0900] "GET /freeeat/selectList.hj?keyword=%EB%B9%84%EA%B1%B4%EC%9D%B4%EB%A0%88&cpage=1 HTTP/1.1" 200 23633
0:0:0:0:0:0:0:1 - - [05/Feb/2023:11:39:44 +0900] "GET /freeeat/placeDetail.mr?placeNo=44 HTTP/1.1" 200 86944
0:0:0:0:0:0:0:1 - - [05/Feb/2023:11:39:44 +0900] "GET /freeeat/photoList.mr?placeNo=44 HTTP/1.1" 200 1789
0:0:0:0:0:0:0:1 - - [05/Feb/2023:11:39:51 +0900] "GET /freeeat/reportForm.mr?reviewNo=9 HTTP/1.1" 200 5208
0:0:0:0:0:0:0:1 - - [05/Feb/2023:11:40:10 +0900] "GET /freeeat/reportInsert.mr?loginMemNo=319&reviewNo=9&report-reason=%EB%B6%88%EB%B2%95%EC%A0%95%EB%B3%B4%EB%A5%BC+%ED%8F%AC%ED%95%A8%ED%95%98%EA%B3%A0+%EC%9E%88%EC%8A%B5%EB%8B%88%EB%8B%A4.&report-plus=%E3%85%8E%E3%85%8E%E3%85%8E%E3%85%8E%E3%85%8E%E3%85%8E%EC%8B%A0%EA%B3%A0%ED%95%A0%EB%9E%AD%7E%7E HTTP/1.1" 200 2592
0:0:0:0:0:0:0:1 - - [05/Feb/2023:11:40:53 +0900] "GET /freeeat/reportForm.mr?reviewNo=9 HTTP/1.1" 200 5208
0:0:0:0:0:0:0:1 - - [05/Feb/2023:11:41:04 +0900] "GET /freeeat/reviewLike.mr?reviewNo=4&memNo=319&likeStatus=0 HTTP/1.1" 200 34
0:0:0:0:0:0:0:1 - - [05/Feb/2023:11:41:06 +0900] "GET /freeeat/reviewLike.mr?reviewNo=4&memNo=319&likeStatus=1 HTTP/1.1" 200 34
0:0:0:0:0:0:0:1 - - [05/Feb/2023:11:41:09 +0900] "GET /freeeat/likeInsert.mr?placeNo=44&memNo=319&likeStatus=0 HTTP/1.1" 200 25
0:0:0:0:0:0:0:1 - - [05/Feb/2023:11:41:10 +0900] "GET /freeeat/likeInsert.mr?placeNo=44&memNo=319&likeStatus=1 HTTP/1.1" 200 25
0:0:0:0:0:0:0:1 - - [05/Feb/2023:11:41:13 +0900] "GET /freeeat/likeInsert.mr?placeNo=44&memNo=319&likeStatus=0 HTTP/1.1" 200 25
0:0:0:0:0:0:0:1 - - [05/Feb/2023:11:41:14 +0900] "GET /freeeat/reviewLike.mr?reviewNo=9&memNo=319&likeStatus=0 HTTP/1.1" 200 34
0:0:0:0:0:0:0:1 - - [05/Feb/2023:11:41:21 +0900] "GET /freeeat/selectList.hj?keyword=%EB%B9%84%EA%B1%B4%EC%9D%B4%EB%A0%88&cpage=1 HTTP/1.1" 200 23633
0:0:0:0:0:0:0:1 - - [05/Feb/2023:11:41:22 +0900] "GET /freeeat/placeDetail.mr?placeNo=44 HTTP/1.1" 200 87154
0:0:0:0:0:0:0:1 - - [05/Feb/2023:11:41:22 +0900] "GET /freeeat/photoList.mr?placeNo=44 HTTP/1.1" 200 1789
0:0:0:0:0:0:0:1 - - [05/Feb/2023:11:41:25 +0900] "GET /freeeat/likeInsert.mr?placeNo=44&memNo=319&likeStatus=0 HTTP/1.1" 200 25
0:0:0:0:0:0:0:1 - - [05/Feb/2023:11:41:26 +0900] "GET /freeeat/likeInsert.mr?placeNo=44&memNo=319&likeStatus=0 HTTP/1.1" 200 25
0:0:0:0:0:0:0:1 - - [05/Feb/2023:11:41:26 +0900] "GET /freeeat/likeInsert.mr?placeNo=44&memNo=319&likeStatus=0 HTTP/1.1" 200 25
0:0:0:0:0:0:0:1 - - [05/Feb/2023:11:41:35 +0900] "GET /freeeat/likeInsert.mr?placeNo=44&memNo=319&likeStatus=0 HTTP/1.1" 200 25
0:0:0:0:0:0:0:1 - - [05/Feb/2023:11:41:36 +0900] "GET /freeeat/likeInsert.mr?placeNo=44&memNo=319&likeStatus=0 HTTP/1.1" 200 25
0:0:0:0:0:0:0:1 - - [05/Feb/2023:11:41:36 +0900] "GET /freeeat/likeInsert.mr?placeNo=44&memNo=319&likeStatus=0 HTTP/1.1" 200 25
0:0:0:0:0:0:0:1 - - [05/Feb/2023:11:41:36 +0900] "GET /freeeat/likeInsert.mr?placeNo=44&memNo=319&likeStatus=0 HTTP/1.1" 200 25
0:0:0:0:0:0:0:1 - - [05/Feb/2023:11:41:37 +0900] "GET /freeeat/likeInsert.mr?placeNo=44&memNo=319&likeStatus=0 HTTP/1.1" 200 25
0:0:0:0:0:0:0:1 - - [05/Feb/2023:11:41:37 +0900] "GET /freeeat/likeInsert.mr?placeNo=44&memNo=319&likeStatus=0 HTTP/1.1" 200 25
0:0:0:0:0:0:0:1 - - [05/Feb/2023:11:41:37 +0900] "GET /freeeat/likeInsert.mr?placeNo=44&memNo=319&likeStatus=0 HTTP/1.1" 200 25
0:0:0:0:0:0:0:1 - - [05/Feb/2023:11:41:37 +0900] "GET /freeeat/likeInsert.mr?placeNo=44&memNo=319&likeStatus=0 HTTP/1.1" 200 25
0:0:0:0:0:0:0:1 - - [05/Feb/2023:11:41:38 +0900] "GET /freeeat/likeInsert.mr?placeNo=44&memNo=319&likeStatus=0 HTTP/1.1" 200 25
0:0:0:0:0:0:0:1 - - [05/Feb/2023:11:41:38 +0900] "GET /freeeat/likeInsert.mr?placeNo=44&memNo=319&likeStatus=0 HTTP/1.1" 200 25
0:0:0:0:0:0:0:1 - - [05/Feb/2023:11:41:38 +0900] "GET /freeeat/likeInsert.mr?placeNo=44&memNo=319&likeStatus=0 HTTP/1.1" 200 25
0:0:0:0:0:0:0:1 - - [05/Feb/2023:11:41:38 +0900] "GET /freeeat/likeInsert.mr?placeNo=44&memNo=319&likeStatus=0 HTTP/1.1" 200 25
0:0:0:0:0:0:0:1 - - [05/Feb/2023:11:41:38 +0900] "GET /freeeat/likeInsert.mr?placeNo=44&memNo=319&likeStatus=0 HTTP/1.1" 200 25
0:0:0:0:0:0:0:1 - - [05/Feb/2023:11:41:39 +0900] "GET /freeeat/likeInsert.mr?placeNo=44&memNo=319&likeStatus=0 HTTP/1.1" 200 25
0:0:0:0:0:0:0:1 - - [05/Feb/2023:11:41:39 +0900] "GET /freeeat/likeInsert.mr?placeNo=44&memNo=319&likeStatus=0 HTTP/1.1" 200 25
0:0:0:0:0:0:0:1 - - [05/Feb/2023:11:41:47 +0900] "GET /freeeat/reviewLike.mr?reviewNo=5&memNo=319&likeStatus=0 HTTP/1.1" 200 34
0:0:0:0:0:0:0:1 - - [05/Feb/2023:11:41:48 +0900] "GET /freeeat/reviewLike.mr?reviewNo=5&memNo=319&likeStatus=1 HTTP/1.1" 200 34
0:0:0:0:0:0:0:1 - - [05/Feb/2023:11:41:49 +0900] "GET /freeeat/reviewLike.mr?reviewNo=5&memNo=319&likeStatus=0 HTTP/1.1" 200 34
0:0:0:0:0:0:0:1 - - [05/Feb/2023:11:41:49 +0900] "GET /freeeat/reviewLike.mr?reviewNo=5&memNo=319&likeStatus=1 HTTP/1.1" 200 34
